,info,wfm,wfm_year,wfm_month,wfm_day,act_year,act_month,act_day,day_of_week
239,local night WFM West Hartford 3pm-6pm,True,2014,8,25,2014,8,28,Thursday
240,,False,NULL,NULL,NULL,2014,8,29,Friday
241,"BB&B East Hanover, 61st St 12pm-4pm",False,NULL,NULL,NULL,2014,8,30,Saturday
242,BB&B West LA 12pm-4pm,False,NULL,NULL,NULL,2014,8,31,Sunday
243,,False,NULL,NULL,NULL,2014,9,1,Monday
244,,False,NULL,NULL,NULL,2014,9,2,Tuesday
245,,False,NULL,NULL,NULL,2014,9,3,Wednesday
246,,False,NULL,NULL,NULL,2014,9,4,Thursday
247,,False,NULL,NULL,NULL,2014,9,5,Friday
248,,False,NULL,NULL,NULL,2014,9,6,Saturday
249,,False,NULL,NULL,NULL,2014,9,7,Sunday
250,,False,NULL,NULL,NULL,2014,9,8,Monday
251,,False,NULL,NULL,NULL,2014,9,9,Tuesday
252,,False,NULL,NULL,NULL,2014,9,10,Wednesday
253,,False,NULL,NULL,NULL,2014,9,11,Thursday
254,,False,NULL,NULL,NULL,2014,9,12,Friday
255,"BB&B 12pm-4pm Shaumburg, IL12pm-4pm",False,NULL,NULL,NULL,2014,9,13,Saturday
256,"BB&B 12pm-4pm Farmington Hills, MI 12pm-4pm",False,NULL,NULL,NULL,2014,9,14,Sunday
257,"BB&B 12pm-4pm East Hanover, NJ",False,NULL,NULL,NULL,2014,9,15,Monday
258,,False,NULL,NULL,NULL,2014,9,16,Tuesday
259,,False,NULL,NULL,NULL,2014,9,17,Wednesday
260,,False,NULL,NULL,NULL,2014,9,18,Thursday
261,,False,NULL,NULL,NULL,2014,9,19,Friday
262,"Williams-Sonoma Salt Lake City, UT 1pm-4pm",False,NULL,NULL,NULL,2014,9,20,Saturday
263,,False,NULL,NULL,NULL,2014,9,21,Sunday
264,,False,NULL,NULL,NULL,2014,9,22,Monday
265,,False,NULL,NULL,NULL,2014,9,23,Tuesday
266,,False,NULL,NULL,NULL,2014,9,24,Wednesday
267,,False,NULL,NULL,NULL,2014,9,25,Thursday
268,,False,NULL,NULL,NULL,2014,9,26,Friday
269,"BB&B 12pm-4pm Tysons Corner VA, 61st St NY, Woodbridge, NJ, West LA, 12pm-4pm",False,NULL,NULL,NULL,2014,9,27,Saturday
270,Southern Season Chapel Hill 1pm-4pm,False,NULL,NULL,NULL,2014,9,28,Sunday
271,,False,NULL,NULL,NULL,2014,9,29,Monday
272,,False,NULL,NULL,NULL,2014,9,30,Tuesday
273,Greene Grape Annex 5pm-8pm,False,NULL,NULL,NULL,2014,3,15,Saturday
274,Nolita Mart 1pm-3pm,False,NULL,NULL,NULL,2014,3,22,Saturday
275,WFM Melrose 12pm-3pm,True,2014,3,17,2014,3,23,Sunday
276,Art of the Table4pm-7pm,False,NULL,NULL,NULL,2014,3,28,Friday
277,Fairway Woodland Park 12pm-3pm,False,NULL,NULL,NULL,2014,3,29,Saturday
278,Red Rolling Pin 5pm  8pm MIRUS,False,NULL,NULL,NULL,2014,4,4,Friday
279,Elis Manhattan 2pm-5pm JOY,False,NULL,NULL,NULL,2014,4,5,Saturday
280,"WFM Cranston, RI 4pm-7pm MIRUS",True,2014,3,31,2014,4,5,Saturday
281,Tribeca WFM 4pm-7pm SABRINA,True,2014,3,31,2014,4,6,Sunday
282,WFM Chelsea 4pm-7pm MIRUS,True,2014,4,7,2014,4,10,Thursday
283,WFM River St. MIRUS,True,2014,4,7,2014,4,11,Friday
284,WFM Tanasbourne 4pm-7pm MIRUS,True,2014,4,7,2014,4,11,Friday
285,"WFM Portland, ME MIRUS",True,2014,4,7,2014,4,12,Saturday
286,WFM Redmond (PNW) 3pm-6pm MIRUS,True,2014,4,7,2014,4,12,Saturday
287,WFM Dedham 3pm-6pm MIRUS,True,2014,4,7,2014,4,13,Sunday
288,WFM Hollywood 4pm-7pm MIRUS,True,2014,4,14,2014,4,17,Thursday
289,WFM UWS 4pm-7pm AMANDA,True,2014,4,14,2014,4,18,Friday
290,"TFM Newport News, 4pm-7pm",False,NULL,NULL,NULL,2014,4,18,Friday
291,TFM Williamsburg 12pm-3pm,False,NULL,NULL,NULL,2014,4,18,Friday
292,Union Market (Union St.) 12pm-3pm,False,NULL,NULL,NULL,2014,4,19,Saturday
293,TFM Coconut Grove 11am-2pm,False,NULL,NULL,NULL,2014,4,19,Saturday
294,TFM Pembroke Pines 2pm-5pm,False,NULL,NULL,NULL,2014,4,19,Saturday
295,WFM Tribeca 4pm-7pm JOY,True,2014,4,21,2014,4,24,Thursday
296,WFM River St. 4pm-7pm,True,2014,4,21,2014,4,25,Friday
297,WFM Dedham 4pm-7pm,True,2014,4,21,2014,4,25,Friday
298,TFM Aventura 4pm-7pm,False,NULL,NULL,NULL,2014,4,25,Friday
299,"TFM Stuart, 4pm-7pm",False,NULL,NULL,NULL,2014,4,25,Friday
300,WFM Chelsea 3pm-6pm,True,2014,4,21,2014,4,26,Saturday
301,"TFM Tampa, 2pm-5pm",False,NULL,NULL,NULL,2014,4,26,Saturday
302,"TFM St. Petersburg, 2pm-5pm",False,NULL,NULL,NULL,2014,4,26,Saturday
303,"TFM Virginia Beach, 3pm-6pm",False,NULL,NULL,NULL,2014,4,26,Saturday
304,WFM Fresh Pond 3pm-6pm MIRUS,True,2014,4,21,2014,4,27,Sunday
305,"TFM Midlothian, 12pm-3pm",False,NULL,NULL,NULL,2014,4,27,Sunday
