year,month,day,units,price,product_name,size,region,store
2014,4,21,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,5,12,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,5,26,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,6,2,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,7,14,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,8,11,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,9,8,2,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,9,22,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,10,13,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
2014,3,10,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,3,31,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,4,7,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,6,16,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,7,7,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,7,28,1,11.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,10,6,1,13.99,COCO-LADA,32OZ,North Atlantic,Bedford
2014,3,10,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,3,17,2,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,3,31,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,4,7,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,4,21,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,4,28,2,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,5,5,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,5,19,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,8,4,2,12.99,PINK & BLACK,32OZ,North Atlantic,Bedford
2014,5,5,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,6,2,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,6,9,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,7,7,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,8,4,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,11,10,1,13.99,THE CLASSIC,32OZ,North Atlantic,Bedford
2014,3,31,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,5,26,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,6,2,2,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,8,18,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,8,25,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,9,15,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,10,6,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,10,13,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,10,20,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,11,10,1,13.99,COCO-LADA,32OZ,North Atlantic,Bellingham
2014,3,10,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bellingham
2014,3,24,2,13.99,PINK & BLACK,32OZ,North Atlantic,Bellingham
2014,4,21,2,13.99,PINK & BLACK,32OZ,North Atlantic,Bellingham
2014,5,5,1,13.99,PINK & BLACK,32OZ,North Atlantic,Bellingham
