storenum,store,region,latitude,longitude,address,city,state,zip,geostate,geocounty,year,month,day,sku,product_name,size,units,price,,sku,,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,21,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,28,Pink & Black 32OZ,Pink & Black,32OZ,4,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,12,Pink & Black 32OZ,Pink & Black,32OZ,8,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,26,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,6,2,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,6,9,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,6,16,Pink & Black 32OZ,Pink & Black,32OZ,3,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,6,23,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,14,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,21,Pink & Black 32OZ,Pink & Black,32OZ,3,12.66,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,28,Pink & Black 32OZ,Pink & Black,32OZ,1,11.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,8,4,Pink & Black 32OZ,Pink & Black,32OZ,3,12.66,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,1,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,8,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,22,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,11,3,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,11,10,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,11,24,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,12,15,Pink & Black 32OZ,Pink & Black,32OZ,2,11.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,8,25,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,22,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,10,20,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,12,15,Coco-Lada 32OZ,Coco-Lada,32OZ,1,11.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,3,24,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,7,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,14,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,21,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,28,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,5,The Classic 32OZ,The Classic,32OZ,7,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,12,The Classic 32OZ,The Classic,32OZ,3,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,19,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,21,The Classic 32OZ,The Classic,32OZ,1,11.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,8,18,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,8,25,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,1,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,9,22,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,10,6,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,10,20,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,11,17,The Classic 32OZ,The Classic,32OZ,4,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,12,1,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,12,15,The Classic 32OZ,The Classic,32OZ,1,11.99,,The,Classic,32OZ,
10026,Fresh Pond,North Atlantic,42.3892095,-71.1416163,200 Alewife Brook Pkwy,Cambridge,MA,2138,0400000US25,0500000US25017,2014,3,24,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10026,Fresh Pond,North Atlantic,42.3892095,-71.1416163,200 Alewife Brook Pkwy,Cambridge,MA,2138,0400000US25,0500000US25017,2014,4,28,Coco-Lada 32OZ,Coco-Lada,32OZ,2,13.99,,Coco-Lada,32OZ,,
